year,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,Td dew point,WS,WD,WSGust,WDGust,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax60,Precp1DayMax,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,Cloud Amount
2016,4,1009.2,1012.7,1018,999.5,24,33.2,17.1,19.3,1.7,60,17,310,184.4,112.7,14,17,36,56.3,76,64.3,81.9,366.1,5,9,8.1
2016,5,1007.5,1011,1013.5,1001.1,27.1,37.3,19,21.3,2,60,14.6,50,186.7,87,15,14.4,57.1,68.6,71,93.3,104,465.62,7,10,7.8
2016,6,1004.6,1008.1,1012.6,997.2,29.4,38.7,24.1,23.6,1.5,160,14.5,270,429.8,89.3,21,17.8,36.3,82.5,72,117.4,125.6,495.86,8,12,7.4
2016,7,1003.5,1007,1009,990.4,30.3,38.5,23.9,24,2,160,19.1,50,174.6,55.9,13,18.5,38.5,43.7,70,132.8,192.7,601.47,10,13,5.6
2017,1,1017.4,1021,1026.8,1006.8,18.3,27.3,12.2,13.5,3,50,15.9,40,21.8,74.1,11,0.7,2,8.5,74,53.3,79.2,246.72,4,6,7.6
2017,2,1017.9,1021.6,1028.3,1008.9,17,27.9,10.4,11,2.9,50,17.1,50,123.7,86.3,8,5.2,9.5,44.2,69,61.3,70,249.12,4,7,7.7
2017,3,1014,1017.6,1022.1,1006.5,18.2,29.3,12,13.5,2.2,50,15.3,50,182.7,156.9,18,4.2,7.9,32.5,75,70.3,60.8,270.1,4,9,8.5
2017,4,1010.1,1013.7,1021.4,998.9,22.5,35.5,11.5,15.6,1.9,50,13.9,50,121.5,107.5,13,6,12.5,27.5,66,78,105.6,395.06,6,10,7.3
2017,5,1007.3,1010.8,1014.1,999.1,25.6,35,19.7,20.4,2.5,50,14.5,60,135.5,92.9,16,8,24,42,73,89.7,83.8,438.1,6,13,8.5
2017,6,1004,1007.5,1008.7,995.8,28,35.6,22,22.9,1.5,160,13.6,240,649.7,156,16,20.5,84,163,75,75.7,83.8,387.8,8,12,8.6
2017,7,1004.4,1007.8,1010.6,975.9,30.3,38,24.2,22.4,1.8,160,41.9,60,206.6,54.6,12,19.5,30.4,38.2,64,106.2,165.3,572.92,10,13,6.8
2018,1,1015.8,1019.4,1027.9,1008,16.9,26.6,8.6,12.9,3,50,15.5,50,255.8,189,13,5,12.6,76.1,79,56.4,78.6,233.71,4,7,7.7
2018,2,1017,1020.6,1025.9,1009.2,15.6,29.5,7.6,11.6,2,50,15.7,40,163.6,200.3,15,3.1,10.6,28,79,42.2,54.5,165.94,4,8,8.5
2018,3,1013.2,1016.7,1022,1005.1,20.6,30.7,11,14.4,2.3,50,13.9,40,37.3,52.2,10,1.3,5,25.3,69,103.9,161.1,414.96,7,10,6.2
2018,4,1011,1014.5,1023.2,1003.4,23.5,34.3,13.6,16.6,2.2,50,15,50,59.6,52.1,9,4.5,12.7,17.1,66,101.2,115.8,393.13,7,10,7.5
2018,5,1007.4,1010.8,1016.1,1001.8,28.2,38.2,20,20.7,2,190,14.4,80,42,10.3,4,11.9,19.4,32.1,64,136,137.3,474.16,8,10,7.2
2018,6,1002.5,1005.9,1010.2,994,28.5,37.8,22.2,22,2.4,80,14.3,80,119.8,62.8,13,18.2,32,32,69,114.5,105.7,429.92,8,12,8.1
2018,7,1000.8,1004.3,1005.8,984.8,30.3,38.5,24.9,22.7,2.5,80,20.9,310,190.3,39.4,8,15,20,71.6,65,146.4,186.1,547.94,10,12,6.4
2019,1,1018.5,1022.1,1026.2,1012.5,18.5,28.6,11.9,13.8,2.9,80,15.2,70,45,108.1,10,1.5,2.8,14,74,56.3,78,225.44,4,7,7.7
2019,2,1016,1019.6,1024,1008.1,18.8,31.3,13.7,14.9,2.7,90,14.2,60,64.1,62.3,9,1.2,5.6,53.4,79,54.7,55.5,216.08,4,8,8.2
2019,3,1012.9,1016.5,1021,1003.7,19.8,32.9,12.1,15,2.6,80,15.9,100,184.2,163.1,16,4,13,43.5,75,68.6,76.3,267.69,5,9,8
2019,4,1009.1,1012.6,1020.8,1001.1,24.2,35.9,15.2,19.6,2.1,80,14.3,70,115.1,72.2,13,8.5,18.5,33,76,82,105,340.22,6,10,7.6
2019,5,1006.9,1010.4,1013.8,999.2,25,35.1,17.9,20.3,2.5,80,12.7,60,335.8,132.4,17,21.5,40,77.4,77,86.8,80.3,330.76,6,11,8.5
2019,6,1002.7,1006.1,1008.3,995.7,28.5,36.9,22.3,23.7,1.7,280,16.1,270,419.5,111.9,16,10.5,23,111.5,77,106.5,91.4,380.46,7,13,8.2
2019,7,1001.6,1005,1006.8,991.5,30.3,37.4,24.8,24.5,1.9,180,16.5,290,439.3,55.2,16,24.5,98.3,120.7,73,128.7,145.5,489.42,10,13,7.4
2020,1,1015.8,1019.4,1027.9,1008,16.9,26.6,8.6,12.9,3,50,15.5,50,255.8,189,13,5,12.6,76.1,79,56.4,78.6,233.71,4,7,7.7
2020,2,1017,1020.6,1025.9,1009.2,15.6,29.5,7.6,11.6,2,50,15.7,40,163.6,200.3,15,3.1,10.6,28,79,42.2,54.5,165.94,4,8,8.5
2020,3,1013.2,1016.7,1022,1005.1,20.6,30.7,11,14.4,2.3,50,13.9,40,37.3,52.2,10,1.3,5,25.3,69,103.9,161.1,414.96,7,10,6.2
2020,4,1011,1014.5,1023.2,1003.4,23.5,34.3,13.6,16.6,2.2,50,15,50,59.6,52.1,9,4.5,12.7,17.1,66,101.2,115.8,393.13,7,10,7.5
2020,5,1007.4,1010.8,1016.1,1001.8,28.2,38.2,20,20.7,2,190,14.4,80,42,10.3,4,11.9,19.4,32.1,64,136,137.3,474.16,8,10,7.2
2020,6,1002.5,1005.9,1010.2,994,28.5,37.8,22.2,22,2.4,80,14.3,80,119.8,62.8,13,18.2,32,32,69,114.5,105.7,429.92,8,12,8.1
2020,7,1000.8,1004.3,1005.8,984.8,30.3,38.5,24.9,22.7,2.5,80,20.9,310,190.3,39.4,8,15,20,71.6,65,146.4,186.1,547.94,10,12,6.4
2021,1,1017.4,1021.1,1024.7,1006,16,29.8,6.8,11.4,2.3,100,16.4,130,41,89,10,1.5,3.5,14.5,75,48.7,124.5,307.17,5,8,6.5
2021,2,1014.2,1017.8,1026.1,1004.5,19.1,28.4,11.9,13.9,2.2,100,13.9,110,46.5,46.8,7,3,9.5,23.5,74,63,150.6,371.69,6,8,5.8
2021,3,1013.1,1016.7,1023.7,1001.8,20.3,30.4,11.9,17,2,100,19.5,320,77.5,62.1,8,4.5,11.5,33.5,83,72.2,110.1,379.77,6,10,7.2
